iter	Passed	Remaining
0	129	129621
1	238	118771
2	346	115143
3	455	113452
4	559	111396
5	659	109263
6	761	107962
7	863	107094
8	963	106048
9	1066	105587
10	1167	104957
11	1267	104365
12	1368	103882
13	1467	103336
14	1574	103368
15	1675	103042
16	1773	102556
17	1878	102497
18	1994	102975
19	2114	103593
20	2227	103836
21	2343	104174
22	2458	104433
23	2578	104866
24	2694	105101
25	2806	105119
26	2917	105153
27	3029	105172
28	3139	105112
29	3245	104932
30	3360	105047
31	3478	105237
32	3584	105049
33	3691	104890
34	3804	104893
35	3915	104837
36	4027	104818
37	4140	104830
38	4258	104925
39	4374	104999
40	4495	105157
41	4617	105324
42	4733	105350
43	4852	105430
44	4962	105307
45	5072	105205
46	5182	105079
47	5298	105095
48	5409	104983
49	5528	105044
50	5640	104963
51	5752	104864
52	5861	104730
53	5987	104884
54	6107	104929
55	6218	104832
56	6333	104788
57	6443	104653
58	6555	104561
59	6668	104478
60	6785	104457
61	6897	104349
62	7009	104254
63	7119	104117
64	7226	103943
65	7330	103741
66	7438	103580
67	7546	103429
68	7657	103317
69	7764	103151
70	7861	102866
71	7961	102615
72	8071	102500
73	8179	102348
74	8294	102302
75	8396	102086
76	8498	101869
77	8610	101781
78	8713	101588
79	8822	101461
80	8947	101516
81	9078	101639
82	9210	101762
83	9329	101733
84	9465	101892
85	9624	102293
86	9790	102738
87	9947	103093
88	10087	103258
89	10220	103337
90	10346	103347
91	10457	103215
92	10564	103029
93	10668	102824
94	10780	102699
95	10889	102539
96	11004	102444
97	11110	102257
98	11215	102074
99	11326	101940
100	11447	101893
101	11580	101954
102	11705	101939
103	11823	101864
104	11973	102059
105	12102	102074
106	12267	102383
107	12531	103497
108	12815	104754
109	13158	106461
110	13595	108884
111	13983	110867
112	14198	111449
113	14357	111585
114	14486	111484
115	14609	111333
116	14721	111105
117	14821	110785
118	14926	110506
119	15043	110318
120	15152	110073
121	15257	109805
122	15364	109548
123	15477	109338
124	15579	109057
125	15690	108836
126	15795	108577
127	15902	108335
128	16008	108087
129	16105	107783
130	16204	107494
131	16304	107217
132	16404	106940
133	16507	106682
134	16614	106458
135	16714	106187
136	16813	105915
137	16914	105655
138	17016	105405
139	17121	105174
140	17221	104914
141	17336	104750
142	17440	104522
143	17544	104294
144	17648	104063
145	17747	103808
146	17846	103559
147	17950	103338
148	18049	103087
149	18148	102843
150	18246	102591
151	18346	102354
152	18449	102137
153	18551	101915
154	18653	101691
155	18754	101467
156	18864	101289
157	18967	101081
158	19069	100865
159	19170	100643
160	19270	100421
161	19369	100195
162	19469	99973
163	19569	99756
164	19673	99560
165	19770	99330
166	19873	99127
167	19970	98903
168	20074	98710
169	20172	98491
170	20270	98271
171	20368	98052
172	20474	97874
173	20576	97677
174	20676	97477
175	20774	97263
176	20873	97056
177	20978	96877
178	21082	96695
179	21179	96485
180	21281	96296
181	21378	96086
182	21474	95873
183	21574	95677
184	21673	95481
185	21773	95288
186	21871	95090
187	21970	94894
188	22071	94706
189	22166	94501
190	22264	94304
191	22363	94113
192	22462	93923
193	22568	93762
194	22669	93582
195	22766	93387
196	22863	93193
197	22962	93011
198	23062	92830
199	23166	92665
200	23268	92493
201	23366	92309
202	23464	92124
203	23565	91953
204	23668	91789
205	23767	91609
206	23872	91452
207	23981	91313
208	24089	91171
209	24193	91013
210	24304	90882
211	24413	90743
212	24521	90602
213	24630	90464
214	24737	90321
215	24838	90155
216	24940	89991
217	25038	89816
218	25138	89650
219	25238	89481
220	25347	89347
221	25459	89221
222	25557	89051
223	25660	88896
224	25764	88745
225	25869	88596
226	25975	88452
227	26079	88305
228	26186	88165
229	26286	88002
230	26391	87858
231	26494	87704
232	26596	87553
233	26707	87426
234	26813	87285
235	26916	87136
236	27023	86998
237	27132	86868
238	27233	86715
239	27348	86603
240	27479	86544
241	27609	86478
242	27720	86356
243	27848	86283
244	27969	86191
245	28096	86116
246	28220	86033
247	28346	85954
248	28467	85860
249	28587	85761
250	28716	85691
251	28835	85590
252	28949	85474
253	29053	85329
254	29157	85184
255	29272	85072
256	29379	84938
257	29489	84811
258	29597	84679
259	29704	84542
260	29809	84402
261	29922	84284
262	30035	84168
263	30146	84045
264	30248	83897
265	30352	83755
266	30454	83607
267	30552	83450
268	30657	83311
269	30760	83166
270	30891	83098
271	31042	83084
272	31189	83056
273	31344	83052
274	31481	82996
275	31633	82980
276	31771	82928
277	31907	82867
278	32031	82775
279	32155	82685
280	32272	82575
281	32382	82448
282	32485	82303
283	32590	82165
284	32696	82028
285	32802	81891
286	32921	81787
287	33060	81732
288	33192	81659
289	33364	81685
290	33506	81637
291	33640	81567
292	33759	81461
293	33898	81401
294	34014	81289
295	34127	81168
296	34243	81053
297	34360	80943
298	34469	80814
299	34582	80693
300	34694	80569
301	34804	80441
302	34915	80316
303	35030	80202
304	35144	80082
305	35257	79963
306	35385	79876
307	35526	79819
308	35645	79712
309	35769	79616
310	35891	79514
311	36009	79404
312	36123	79286
313	36240	79175
314	36351	79049
315	36476	78956
316	36595	78848
317	36708	78726
318	36815	78592
319	36935	78486
320	37042	78355
321	37150	78224
322	37261	78098
323	37372	77974
324	37482	77848
325	37600	77737
326	37729	77651
327	37841	77528
328	37951	77401
329	38068	77291
330	38202	77211
331	38326	77114
332	38443	77002
333	38581	76931
334	38698	76819
335	38816	76708
336	38933	76596
337	39053	76489
338	39164	76365
339	39279	76248
340	39393	76129
341	39511	76019
342	39630	75910
343	39752	75807
344	39871	75698
345	39985	75578
346	40095	75453
347	40202	75321
348	40314	75199
349	40421	75067
350	40529	74939
351	40645	74824
352	40761	74711
353	40901	74639
354	41026	74541
355	41137	74418
356	41243	74284
357	41352	74157
358	41462	74032
359	41570	73903
360	41684	73784
361	41796	73664
362	41904	73534
363	42014	73410
364	42122	73281
365	42232	73157
366	42350	73046
367	42461	72922
368	42570	72796
369	42680	72671
370	42798	72561
371	42911	72442
372	43020	72316
373	43135	72200
374	43244	72074
375	43351	71944
376	43467	71830
377	43577	71706
378	43714	71627
379	43838	71526
380	43966	71430
381	44079	71312
382	44187	71183
383	44313	71085
384	44428	70970
385	44554	70872
386	44677	70768
387	44795	70656
388	44931	70573
389	45077	70506
390	45202	70405
391	45332	70311
392	45454	70205
393	45570	70091
394	45686	69975
395	45795	69849
396	45910	69733
397	46022	69612
398	46131	69485
399	46240	69360
400	46351	69238
401	46462	69116
402	46575	68996
403	46686	68874
404	46796	68750
405	46906	68626
406	47015	68501
407	47128	68382
408	47237	68257
409	47345	68131
410	47458	68012
411	47567	67887
412	47672	67757
413	47789	67643
414	47937	67574
415	48076	67491
416	48547	67873
417	48686	67787
418	48802	67670
419	48934	67575
420	49056	67467
421	49180	67360
422	49298	67246
423	49429	67149
424	49569	67064
425	49694	66959
426	49809	66840
427	49926	66723
428	50047	66613
429	50162	66494
430	50275	66373
431	50389	66252
432	50512	66145
433	50621	66017
434	50729	65889
435	50840	65765
436	50945	65634
437	51056	65511
438	51157	65374
439	51262	65242
440	51361	65104
441	51462	64968
442	51563	64832
443	51664	64696
444	51769	64565
445	51887	64452
446	52010	64344
447	52120	64219
448	52239	64106
449	52362	63999
450	52485	63890
451	52589	63759
452	52699	63635
453	52814	63517
454	52926	63395
455	53025	63259
456	53126	63124
457	53226	62988
458	53325	62852
459	53426	62718
460	53532	62590
461	53639	62462
462	53747	62337
463	53856	62213
